Key,English,Traditional_Chinese
MMI_0,Dialog,對話
MMI_1,Quest,任務
MMI_2,Trade,交易
MMI_3,Attack,攻擊力
MMI_4,Message,訊息
MMI_5,Add to my list,追加到即時通
MMI_6,Invite to join party,招募團員
MMI_7,Invite to join guild,招募會員
MMI_8,Place of Resurrection,指定場所
MMI_9,Bank,銀行
MMI_10,Duel,對戰
MMI_11,Request party duel,申請劇團決鬥
MMI_12,Follow,跟隨
MMI_13,Beauty Shop,美容院
MMI_14,Repair,修理
MMI_15,Guild Warehouse,公會倉庫
MMI_16,Guild ranking,公會排名
MMI_17,Guild war ranking,公會戰排名
MMI_18,Overall guild war ranking,公會戰總排名
MMI_21,Put Bounty,提出獻賞金
MMI_22,See the Bounty List,看通緝犯排名
MMI_24,View equipment,查看
MMI_25,Mailbox,郵件
MMI_26,Apply,套用
MMI_27,Status,狀態
MMI_28,Cancel,取消
MMI_29,Enter,加入
MMI_30,Ranking,排名
MMI_31,Cheer,鼓勵
MMI_32,Remove piercing card,移除屬性卡
MMI_33,Lineup Setup,組織參加者
MMI_34,Claim Guild Penya,領取獎金和申請費用
MMI_35,Reward Information,獎金情報
MMI_36,Claim MVP Penya Reward,MVP賞金
MMI_37,Participation Information,參加資格
MMI_38,Basic Rules,基本規則
MMI_39,Winning Conditions,勝利條件
MMI_40,Application Fee Information,委託情報
MMI_41,The refund of application fee,退還申請費用
MMI_42,Cosmetic Upgrades,變化臉部造型
MMI_44,Rock-Paper-Scissors,剪刀-石頭-布
MMI_49,Pet State,寵物狀態
MMI_50,Un-summon pet,寵物解除
MMI_51,Create Shining Power Dice,製作閃耀的能量骰子
MMI_53,Create Jewels,製作寶石
MMI_54,Create Unique Weapon,製作獨特武器
MMI_59,Remove Element,刪除屬性
MMI_71,Remove Level Reduction,移除裝備降等效果
MMI_74,Get Buffed!,獲得活動輔助
MMI_75,Exchange Rare Item Pieces,交換稀有物品碎片
MMI_76,Exchange Card Pieces,交換卡片碎片
MMI_79,Remove Premium Item Blessing,移除女神祝福效果
MMI_80,Enter Arena,進入自由競技場
MMI_81,Leave Arena,離開自由競技場
MMI_82,Arena Ranking,競技場排名
MMI_83,Arena Reward,Arena Reward
MMI_134,Upgrading,升級
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,屬性升級
MMI_142,Store Pet,存放寵物
MMI_272,Exchange RPS Coupon,兌換剪刀石頭布猜拳券
MMI_309,Card Upgrade,卡片升級
MMI_310,Weapon Socket Card Reshuffle,武器插槽卡重整
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,掉落篩選
MMI_1001,Report,回報
MMI_1002,Inspect,檢查
MMI_1003,Unbinding,解除綁定
MMI_1004,Exchange,交換
MMI_1005,Combat Power Ranking,戰鬥力排名
MMI_1006,Giant Hunt Ranking ,BOSS擊殺排名
MMI_1007,Accessory Upgrade,飾品升級
MMI_1008,Mute,靜音
MMI_1009,Unmute,關閉靜音
MMI_1010,Freeze,禁止移動
MMI_1011,Unfreeze,解除禁止移動
MMI_1012,Shadow Mute,暗影靜音
MMI_1013,Pet Candy Crafting,寵物糖果製作
MMI_1014,Exchange Dice,交換骰子
MMI_1015,Pet Sacrificing,寵物犧牲
MMI_1016,Red Chip Shop,紅籌碼商店
MMI_1017,Cosmetic Wardrobe,裝扮用衣櫥
MMI_1018,Lv80 GS Apply,Lv80公會戰申請
MMI_1019,Lv80 GS Status,Lv80公會戰戰況
MMI_1020,Lv80 GS Cancel,Lv80公會戰取消
MMI_1021,Lv80 GS Enter,加入Lv80公會戰
MMI_1022,Lv80 GS Lineup Setup,Lv80公會戰陣容
MMI_1023,Lv80 GS Ranking,Lv80公會戰排名
MMI_1024,Lv80 GS Information,Lv80公會戰資訊
MMI_1025,Lv60 GS Apply,Lv60公會戰申請
MMI_1026,Lv60 GS Status,Lv60公會戰戰況
MMI_1027,Lv60 GS Cancel,Lv60公會戰取消
MMI_1028,Lv60 GS Enter,加入Lv60公會戰
MMI_1029,Lv60 GS Lineup Setup,Lv60公會戰陣容
MMI_1030,Lv60 GS Ranking,Lv60公會戰排名
MMI_1031,Lv60 GS Information,Lv60公會戰資訊
MMI_1032,Blue Chip Shop,藍籌碼商店
MMI_1033,Valentine's Letter Exchange,情人節情書交換
MMI_1034,Dungeon,地城
MMI_1035,PK Chip Shop,PK籌碼商店
MMI_1036,Exchange,交換
MMI_1037,Green Chip Shop,綠籌碼商店
MMI_1038,FWC Gear Exchange,FWC裝備交換
MMI_1039,FWC Jewel Exchange,FWC寶石交換
MMI_1040,Use Capsule Coins,使用膠囊幣
MMI_1041,Music Festival Exchange,音樂祭交換
MMI_1042,Fitting Room,試衣間
MMI_1043,FWC PVP Registrations Board,FWC PVP註冊版
MMI_1047,Join FWC PVP Arena,加入FWC PVP競技場
MMI_1046,FWC PVP Ranking,FWC PVP排名
MMI_1048,Spectate FWC PVP Contest,觀看 FWC PVP 比賽
MMI_1049,Rock Paper Scissors,剪刀石頭布
MMI_1050,W-Token Shop,W-代幣商店
MMI_1051,Costume Box Upgrade,服裝箱升級
MMI_1054,Exchange Rings,交換戒指
MMI_1055,Dismantle Item,拆卸物品
MMI_1056,Buy that Guild House,購買那個公會房
MMI_1057,Enter in Guild House,進入公會房
MMI_1058,Enter Your House,進入你的房子
MMI_1059,Select House Template,選擇房子版型
MMI_1060,Visit Friend's House,拜訪朋友的房子
MMI_1061,Edit,編輯
MMI_1062,Remove,移除
MMI_1063,Exchange Earrings,交換耳環
MMI_1064,Exchange Necklaces,交換項鍊
MMI_1065,Rainbow Race,彩虹競賽
MMI_1066,Create Ultimate Weapon,製作終極武器 
MMI_1069,Open Guest Book,打開留言簿
MMI_1070,Orphanage Keeper Shop,孤兒守護者商店
MMI_1071,Kalgas Assault Registration,卡爾加斯突擊登記處
MMI_1072,Kalgas Assault Enter,進入卡爾加斯突擊戰
MMI_1073,Kalgas Assault Rank,卡爾加斯突擊排名
MMI_1074,Kalgas Assault Info,卡爾加斯突擊說明
MMI_1075,Kalgas Chip Shop,Kalgas Chip Shop
MMI_1076,Couple's Storage,Couple's Storage
MMI_1077,Create Ultimate Jewel,Create Ultimate Jewel
MMI_1078,Fuse Ultimate Jewel,Fuse Ultimate Jewel
