Key,English,Spanish
MMI_0,Dialog,Hablar
MMI_1,Quest,Quest
MMI_2,Trade,Comerciar
MMI_3,Attack,Ataque
MMI_4,Message,Mensajes
MMI_5,Add to my list,Agregar a mi lista
MMI_6,Invite to join party,Invitar a la party
MMI_7,Invite to join guild,Invitar a la guild
MMI_8,Place of Resurrection,Lugar de Resurrección
MMI_9,Bank,Banco
MMI_10,Duel,Duelo
MMI_11,Request party duel,Solicitar duelo de party
MMI_12,Follow,Seguir
MMI_13,Beauty Shop,Salón de Belleza
MMI_14,Repair,Reparar
MMI_15,Guild Warehouse,Almacén de la Guild
MMI_16,Guild ranking,Clasificación de Guilds
MMI_17,Guild war ranking,Clasificación de Duelos de Guilds
MMI_18,Overall guild war ranking,Clasificación General de Duelos de Guilds
MMI_21,Put Bounty,Añadir Recompensa
MMI_22,See the Bounty List,Ver la Lista de Recompensas
MMI_24,View equipment,Ver Equipo
MMI_25,Mailbox,Buzón de Mensajes
MMI_26,Apply,Aplicar
MMI_27,Status,Estado
MMI_28,Cancel,Cancelar
MMI_29,Enter,Unirse
MMI_30,Ranking,Clasificación
MMI_31,Cheer,Animar
MMI_32,Remove piercing card,Eliminar carta de piercing
MMI_33,Lineup Setup,Entrar
MMI_34,Claim Guild Penya,Recibir el dinero del premio e inscripción
MMI_35,Reward Information,Información del premio
MMI_36,Claim MVP Penya Reward,Aceptar dinero del premio al MVP
MMI_37,Participation Information,Información para Participar
MMI_38,Basic Rules,Reglas Básicas
MMI_39,Winning Conditions,Condición de Victoria
MMI_40,Application Fee Information,Información de la comisión
MMI_41,The refund of application fee,Devolución del precio de entrada
MMI_42,Cosmetic Upgrades,Mejoras Cosméticas
MMI_44,Rock-Paper-Scissors,Piedra-Papel-Tijeras
MMI_49,Pet State,Estado de la Mascota
MMI_50,Un-summon pet,Retirar Mascota
MMI_51,Create Shining Power Dice,Crear un Dado de Poder Brillante
MMI_53,Create Jewels,Crear Gemas
MMI_54,Create Unique Weapon,Crear un Arma Única
MMI_59,Remove Element,Eliminar elemento
MMI_71,Remove Level Reduction,Eliminar la Reducción de Nivel
MMI_74,Get Buffed!,¡Obtén Buffs!
MMI_75,Exchange Rare Item Pieces,Cambiar Trozos de Objetos
MMI_76,Exchange Card Pieces,Cambiar Trozos de Cartas
MMI_79,Remove Premium Item Blessing,Eliminar Bendición del Objeto Premium
MMI_80,Enter Arena,Entrar a la Arena
MMI_81,Leave Arena,Salir de la Arena
MMI_82,Arena Ranking,Clasificación de la Arena
MMI_83,Arena Reward,Premio de la Arena
MMI_134,Upgrading,Actualización
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Actualización Elementos
MMI_142,Store Pet,Guardar Mascota
MMI_272,Exchange RPS Coupon,Canjear Cupón RPS
MMI_309,Card Upgrade,Mejorar Carta
MMI_310,Weapon Socket Card Reshuffle,Reorganización Cartas de Arma
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Filtro de Objetos
MMI_1001,Report,Reportar
MMI_1002,Inspect,Inspeccionar
MMI_1003,Unbinding,Desatar
MMI_1004,Exchange,Canjear
MMI_1005,Combat Power Ranking,Clasificación de Poder de Combate
MMI_1006,Giant Hunt Ranking ,Clasificación de Caza de Gigantes
MMI_1007,Accessory Upgrade,Mejora de Accesorios
MMI_1008,Mute,Silenciar
MMI_1009,Unmute,Quitar silencio
MMI_1010,Freeze,Congelar
MMI_1011,Unfreeze,Descongelar
MMI_1012,Shadow Mute,Silencio Sombra
MMI_1013,Pet Candy Crafting,Creación de Caramelo de Mascota
MMI_1014,Exchange Dice,Dado de Intercambio
MMI_1015,Pet Sacrificing,Sacrificio de Mascota
MMI_1016,Red Chip Shop,Tienda de Ficha Roja
MMI_1017,Cosmetic Wardrobe,Armario de Cosméticos
MMI_1018,Lv80 GS Apply,Aplicar Nivel 80 GS
MMI_1019,Lv80 GS Status,Estado GS Nivel 80
MMI_1020,Lv80 GS Cancel,Cancelar GS Nivel 80
MMI_1021,Lv80 GS Enter,Unión GS Nivel 80
MMI_1022,Lv80 GS Lineup Setup,Alinear GS Nivel 80
MMI_1023,Lv80 GS Ranking,Rango GS Nivel 80
