Key,English,German
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Sammle Twinkle Stones von Aibatts.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Bring es zu [Magician Anweiser] Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Bring es zu [Acrobat Anweiser] Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Besiege Ren östlich vom Ivillis Tempel im Süden von Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Besiege Sisif und finde den Soulstone of Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Besiege Venel Guardian und finde das Heart of Venel.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Besiege Rubo und finde den Letter of Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Besiege Prankster und finde das History book of Hero.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Bringe den Earring of Heren zu Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Besiege Shacalpion und finde die Tear of Darkness.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Besiege Kidster und finde den Clue of Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Treffe Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Besiege Wheelem und finde den Soul Stone.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Besiege Hoiren und finde das Hall Document.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Besiege Steamwalker und finde das Skill Poster (Master)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Treffe Segho und gib ihm das Hall Document.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Besiege Ren und finde das Seal of Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Treffe Tesar und gib ihm das Seal of Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Besiege Hunter X und finde den Teardrop of Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Besiege Kinsay und finde das Magic Underwear of Power.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",Treffe Rufan und gib ihm das Magic Underwear of Power.
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Triff Parine, die Leiterin der Saint Morning Flugstation, und übergib ihr die Feather of Magic Power."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Bringe es zum Bürgermeister in Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Besiege Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Besiege Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Besiege Hardeseor.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Besiege eine Gruppe von Mias und finde den Report about Mia.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Triff den Bürgermeister von Saint Morning.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Besiege den Troupe Leader of Red Bang.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Besiege die Red Bangs und finde das Symbol of Red Bang Troupe.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,"Besiege Lord Bang, um die Halskette zu erhalten."
QUEST_DESTINATION_0040,Hand it to Strange Collector,Gib es dem Strange Collector.
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,"Suche nach einem Ei, nachdem du Red Mantis C besiegt hast."
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Bringe es zu Dr. Estern.
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Bringe es zu Dr. Estly.
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Bitte gib es dem Bürgermeister in Darkon.
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Bringe es zu [Vorsitzender des Historiker Verbands] Gothante.
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Bringe es zu [Verwalterin der historischen Dokumente] Rovanett.
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Bringe es zu [Großmagierin] Laola.
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Bringe es zu [Historikerin] Martinyc.
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Bringe es zu [Mercenary Anweiser] Hyuit.
QUEST_DESTINATION_0061,Kill Small Mushpang,Besiege Small Mushpang.
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Bringe es zu [Assist Anweiserin] Lumarka.
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Bringe es zu Hachal in Flaris.
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Bringe es zu Hachal in Darkon.
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,Erhalte einen Brief von Rankashu. Er steht am Eingang der Dekane Mine.
QUEST_DESTINATION_0067,Drian exists in the first room,Drian findest du im ersten Raum der Dekane Mine. 
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,"Besiege Keakoon im dritten Raum, um den Schlüssel zu erhalten."
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Gehe zum dritten Raum und überprüffe die Zelle von Nevil.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Besiege Elite Keakoon Guard Leaders im dritten Raum.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Rede mit Nevin im Gefängnis
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Zerbrich Roach-Eier im fünften Raum und erhalte 15 Pinky Roach Fluid
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Zerbrich Roach-Eier im vierten Raum und erhalte 15 Blue Roach Fluid.
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Sammel 30 Cillin in der Nähe.
QUEST_DESTINATION_0077,Meet Kazen,Treffe Kazen.
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Sammle 30 Ribenuum von den Green Trillipy in der Nähe von Kazen.
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Finde Shin in der toten Wüste in Darkon 3 und schließe 'Das Triduum' ab. Erhalte danach die 10 Ribenuum.
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Sprich mit Cell in Darkon 1 und schließe 'Wo ist die ID Karte?' ab. Finde 20 Triduum, nachdem du die ID Karte erhalten hast."
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Bring das Ribenuum zu Shin.
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Du findest Mutant Fefern und Mutant Nyangnyang Queen in der Nähe.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Besiege Vice Veduque im letzen Raum vom Mas Dungeon.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Die Ivillis Offenbarung findest du im linken unteren Raum vom Ivillis Tempel.
