Key,English,French
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,Maître Collecteur
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,Récompense obtenue pour le classement en maîtrise de récolte d’herbes.
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,Maître Bûcheron 
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,Récompense obtenue pour le classement en maîtrise de coupe de bois.
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,Maître Mineur
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,Récompense obtenue pour le classement en maîtrise de minage.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,Maître Pêcheur 
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,Récompense obtenue pour le classement en maîtrise de pêche.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,Maître Cuisinier 
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,Récompense obtenue pour le classement en maîtrise de cuisine.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,Maître Alchimiste 
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,Récompense obtenue pour le classement en maîtrise d’alchimie.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,Maître Charpentier 
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,Récompense obtenue pour le classement en maîtrise de menuiserie.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,Maître Forgeron 
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,Récompense obtenue pour le classement en maîtrise de forge.
