Key,English,Filipino
MMI_0,Dialog,Dyalogo
MMI_1,Quest,Quest
MMI_2,Trade,Kalakal
MMI_3,Attack,Atake
MMI_4,Message,Mensahe
MMI_5,Add to my list,Idagdag sa aking listahan
MMI_6,Invite to join party,Iimbita sa party
MMI_7,Invite to join guild,Iimbita sa guild
MMI_8,Place of Resurrection,Pwesto ng Resurrection
MMI_9,Bank,Banko
MMI_10,Duel,Duel
MMI_11,Request party duel,Humiling ng party duel
MMI_12,Follow,Sundan
MMI_13,Beauty Shop,Shop ng Pampaganda
MMI_14,Repair,Ayusin
MMI_15,Guild Warehouse,Guild Warehouse
MMI_16,Guild ranking,Guild ranking
MMI_17,Guild war ranking,Guild war ranking
MMI_18,Overall guild war ranking,Overall guild war ranking
MMI_21,Put Bounty,Bigyang ng Pabuya
MMI_22,See the Bounty List,Tignang ang mga Pabuya
MMI_24,View equipment,Tignan ang gamit
MMI_25,Mailbox,Mailbox
MMI_26,Apply,Apply
MMI_27,Status,Kalagayan
MMI_28,Cancel,Kansela
MMI_29,Enter,Sumali
MMI_30,Ranking,Ranking
MMI_31,Cheer,Aluin
MMI_32,Remove piercing card,Tangal butas ng kard
MMI_33,Lineup Setup,Pagpasok
MMI_34,Claim Guild Penya,Resibo sa perang premyo at bayad pagpairal
MMI_35,Reward Information,Kaalaman sa perang premyo
MMI_36,Claim MVP Penya Reward,Pagtangap ng perang pa-premyo bilang MVP
MMI_37,Participation Information,Kaalaman sa partisipasyon
MMI_38,Basic Rules,Alituntunin
MMI_39,Winning Conditions,Kailanganin para manalo
MMI_40,Application Fee Information,Kaalaman sa komisyon
MMI_41,The refund of application fee,Pag sauli sa bayad ng aplikasyon
MMI_42,Cosmetic Upgrades,Pagpaganda
MMI_44,Rock-Paper-Scissors,Bato-bato-pete
MMI_49,Pet State,Katayuan ng alaga
MMI_50,Un-summon pet,Itago ang alaga
MMI_51,Create Shining Power Dice,Mag-likha ng Shining Power Dice
MMI_53,Create Jewels,Mag-likha ng Jewels
MMI_54,Create Unique Weapon,Mag-Likha ng Unique Weapon
MMI_59,Remove Element,Remove Element
MMI_71,Remove Level Reduction,Tangalin ang Level Reduction
MMI_74,Get Buffed!,Pa Buff lods
MMI_75,Exchange Rare Item Pieces,Palitan ang Rare Item Pieces
MMI_76,Exchange Card Pieces,Palitan ang Card Pieces
MMI_79,Remove Premium Item Blessing,Remove Premium Item Blessing
MMI_80,Enter Arena,Pumasok sa Arena
MMI_81,Leave Arena,Lumabas sa Arena
MMI_82,Arena Ranking,Arena Ranking
MMI_83,Arena Reward,Arena Reward
MMI_134,Upgrading,Upgrading
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Element Upgrading
MMI_142,Store Pet,Itago ang alaga
MMI_272,Exchange RPS Coupon,Pagpalit ng RPS Coupon
MMI_309,Card Upgrade,Card Upgrade
MMI_310,Weapon Socket Card Reshuffle,Weapon Socket Card Reshuffle
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Panala
MMI_1001,Report,Isumbong
MMI_1002,Inspect,Suriin
MMI_1003,Unbinding,Pakawalan
MMI_1004,Exchange,Palitan
MMI_1005,Combat Power Ranking,Combat Power Ranking
MMI_1006,Giant Hunt Ranking ,Giant Hunt Ranking 
MMI_1007,Accessory Upgrade,Upgrade ng Alahas
MMI_1008,Mute,Mute
MMI_1009,Unmute,Unmute
MMI_1010,Freeze,Freeze
MMI_1011,Unfreeze,Unfreeze
MMI_1012,Shadow Mute,Shadow Mute
MMI_1013,Pet Candy Crafting,Pet Candy Crafting
MMI_1014,Exchange Dice,Palitan ng Dice
